policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-minlayer,"entropy=0.30,min=0.65",573,59,10.579,0.6222,0.8848,0.8983,0.8894,8.508,7.6234,0.0,0.8000-1.0000,0.8480-0.9182
tokentriage-stable,"entropy=0.30,min=0.65",573,59,11.213,0.5995,0.7923,0.0,0.5247,7.781,0.5636,1.0,0.0000-0.0000,0.4374-0.6026
tokentriage-kstable,"entropy=0.30,min=0.65,k=2",573,59,10.728,0.6169,0.8743,0.7966,0.8484,8.3599,6.1858,0.1132,0.6712-0.9474,0.7842-0.9017
tokentriage-kstable,"entropy=0.30,min=0.65,k=3",573,59,10.96,0.6086,0.8464,0.5254,0.7378,8.1429,4.0781,0.434,0.4250-0.6842,0.6706-0.8106
tokentriage-kstable,"entropy=0.30,min=0.65,k=4",573,59,11.077,0.6044,0.829,0.3559,0.6683,8.0624,3.296,0.6038,0.2222-0.5217,0.5809-0.7611
tokentriage-minlayer,"entropy=0.30,min=0.72",573,59,10.733,0.6167,0.8831,0.8814,0.8824,8.3197,5.7955,0.0189,0.7857-1.0000,0.8386-0.9173
tokentriage-stable,"entropy=0.30,min=0.72",573,59,11.215,0.5995,0.7923,0.0,0.5247,7.783,0.583,1.0,0.0000-0.0000,0.4374-0.6026
tokentriage-kstable,"entropy=0.30,min=0.72,k=2",573,59,10.869,0.6118,0.8674,0.7288,0.821,8.212,4.7494,0.1887,0.6000-0.9070,0.7412-0.8858
tokentriage-kstable,"entropy=0.30,min=0.72,k=3",573,59,11.075,0.6045,0.8377,0.4407,0.7034,8.0415,3.0936,0.5283,0.3191-0.6200,0.6163-0.7899
tokentriage-kstable,"entropy=0.30,min=0.72,k=4",573,59,11.185,0.6005,0.822,0.2881,0.641,7.9698,2.3973,0.6792,0.1633-0.4576,0.5415-0.7285
tokentriage-minlayer,"entropy=0.30,min=0.85",573,59,10.993,0.6074,0.8569,0.6271,0.7795,8.1011,3.6718,0.3019,0.5275-0.7907,0.7090-0.8604
tokentriage-stable,"entropy=0.30,min=0.85",573,59,11.241,0.5985,0.7923,0.0,0.5247,7.7724,0.4795,1.0,0.0000-0.0000,0.4374-0.6026
tokentriage-kstable,"entropy=0.30,min=0.85,k=2",573,59,11.086,0.6041,0.8447,0.5085,0.731,8.0156,2.8418,0.434,0.3656-0.7209,0.6219-0.8356
tokentriage-kstable,"entropy=0.30,min=0.85,k=3",573,59,11.216,0.5994,0.822,0.2881,0.6413,7.8932,1.6533,0.6981,0.1628-0.3881,0.5605-0.7126
tokentriage-kstable,"entropy=0.30,min=0.85,k=4",573,59,11.307,0.5962,0.808,0.1525,0.5861,7.8224,0.9655,0.8302,0.0857-0.2090,0.5130-0.6463
entropy,threshold=0.42,573,59,4.534,0.8381,0.9564,0.9831,0.9653,10.1702,11.8426,,0.9500-1.0000,0.9449-0.9764
tokentriage-minlayer,"entropy=0.42,min=0.50",573,59,5.647,0.7983,0.9564,0.9831,0.9653,9.8919,9.1405,0.0,0.9500-1.0000,0.9449-0.9764
tokentriage-stable,"entropy=0.42,min=0.50",573,59,6.825,0.7562,0.8551,0.0,0.5663,9.0114,0.5884,1.0,0.0000-0.0000,0.4633-0.6680
tokentriage-kstable,"entropy=0.42,min=0.50,k=2",573,59,5.824,0.792,0.9511,0.9322,0.9445,9.8487,8.7206,0.0517,0.8788-0.9863,0.9244-0.9692
tokentriage-kstable,"entropy=0.42,min=0.50,k=3",573,59,6.054,0.7838,0.9337,0.7627,0.8763,9.6957,7.2343,0.2241,0.6667-0.8837,0.8238-0.9332
tokentriage-kstable,"entropy=0.42,min=0.50,k=4",573,59,6.244,0.777,0.9162,0.5932,0.8069,9.5788,6.0995,0.3966,0.4571-0.7358,0.7179-0.8791
tokentriage-minlayer,"entropy=0.42,min=0.65",573,59,6.113,0.7817,0.9564,0.9831,0.9653,9.8535,8.7675,0.0,0.9500-1.0000,0.9449-0.9764
tokentriage-stable,"entropy=0.42,min=0.65",573,59,6.825,0.7562,0.8551,0.0,0.5663,9.0114,0.5884,1.0,0.0000-0.0000,0.4633-0.6680
tokentriage-kstable,"entropy=0.42,min=0.65,k=2",573,59,6.297,0.7751,0.9389,0.8136,0.8968,9.6385,6.6795,0.1724,0.6813-0.9474,0.8272-0.9477
tokentriage-kstable,"entropy=0.42,min=0.65,k=3",573,59,6.515,0.7673,0.9162,0.5932,0.8068,9.4359,4.7114,0.3966,0.4808-0.7458,0.7240-0.8808
tokentriage-kstable,"entropy=0.42,min=0.65,k=4",573,59,6.647,0.7626,0.897,0.4068,0.7305,9.3347,3.7289,0.5862,0.2500-0.6279,0.6183-0.8420
tokentriage-minlayer,"entropy=0.42,min=0.72",573,59,6.304,0.7749,0.9546,0.9661,0.9584,9.6142,6.4428,0.0172,0.9265-1.0000,0.9370-0.9735
tokentriage-stable,"entropy=0.42,min=0.72",573,59,6.827,0.7562,0.8551,0.0,0.5663,9.0134,0.6077,1.0,0.0000-0.0000,0.4633-0.6680
tokentriage-kstable,"entropy=0.42,min=0.72,k=2",573,59,6.468,0.769,0.9302,0.7288,0.8626,9.4542,4.8891,0.2586,0.6000-0.9070,0.7777-0.9326
tokentriage-kstable,"entropy=0.42,min=0.72,k=3",573,59,6.668,0.7618,0.904,0.4746,0.7587,9.2916,3.3098,0.5172,0.3467-0.6400,0.6516-0.8484
tokentriage-kstable,"entropy=0.42,min=0.72,k=4",573,59,6.787,0.7576,0.8866,0.3051,0.6895,9.2125,2.542,0.6897,0.1733-0.4576,0.5791-0.7905
tokentriage-minlayer,"entropy=0.42,min=0.85",573,59,6.602,0.7642,0.9215,0.6441,0.828,9.3322,3.7044,0.3448,0.5522-0.7925,0.7564-0.8989
tokentriage-stable,"entropy=0.42,min=0.85",573,59,6.853,0.7552,0.8551,0.0,0.5663,9.0027,0.5043,1.0,0.0000-0.0000,0.4633-0.6680
tokentriage-kstable,"entropy=0.42,min=0.85,k=2",573,59,6.7,0.7607,0.9075,0.5085,0.7726,9.2434,2.8418,0.4828,0.3656-0.7209,0.6618-0.8755
tokentriage-kstable,"entropy=0.42,min=0.85,k=3",573,59,6.831,0.756,0.8848,0.2881,0.6829,9.121,1.6533,0.7069,0.1628-0.3881,0.5924-0.7654
tokentriage-kstable,"entropy=0.42,min=0.85,k=4",573,59,6.921,0.7528,0.8709,0.1525,0.6277,9.0502,0.9655,0.8448,0.0857-0.2090,0.5407-0.7049
entropy,threshold=0.55,573,59,1.59,0.9432,0.986,1.0,0.9908,10.7698,12.5835,,1.0000-1.0000,0.9860-0.9950
tokentriage-minlayer,"entropy=0.55,min=0.50",573,59,2.904,0.8963,0.986,1.0,0.9908,10.4427,9.4071,0.0,1.0000-1.0000,0.9860-0.9950
tokentriage-stable,"entropy=0.55,min=0.50",573,59,4.157,0.8515,0.8831,0.0,0.5847,9.5347,0.5884,1.0,0.0000-0.0000,0.4777-0.6910
tokentriage-kstable,"entropy=0.55,min=0.50,k=2",573,59,3.07,0.8904,0.9843,0.9831,0.9838,10.4248,9.2327,0.0169,0.9552-1.0000,0.9705-0.9919
tokentriage-kstable,"entropy=0.55,min=0.50,k=3",573,59,3.326,0.8812,0.9651,0.7966,0.9086,10.2822,7.8479,0.2034,0.7021-0.9024,0.8550-0.9623
tokentriage-kstable,"entropy=0.55,min=0.50,k=4",573,59,3.557,0.873,0.9459,0.6102,0.8322,10.1187,6.2601,0.3898,0.4902-0.7458,0.7430-0.9048
tokentriage-minlayer,"entropy=0.55,min=0.65",573,59,3.419,0.8779,0.986,1.0,0.9908,10.4049,9.04,0.0,1.0000-1.0000,0.9860-0.9950
tokentriage-stable,"entropy=0.55,min=0.65",573,59,4.157,0.8515,0.8831,0.0,0.5847,9.5347,0.5884,1.0,0.0000-0.0000,0.4777-0.6910
tokentriage-kstable,"entropy=0.55,min=0.65,k=2",573,59,3.599,0.8715,0.9703,0.8475,0.9291,10.1813,6.8681,0.1525,0.6912-1.0000,0.8528-0.9913
tokentriage-kstable,"entropy=0.55,min=0.65,k=3",573,59,3.824,0.8634,0.9459,0.6102,0.8322,9.9743,4.8577,0.3898,0.5000-0.7674,0.7426-0.9114
tokentriage-kstable,"entropy=0.55,min=0.65,k=4",573,59,3.963,0.8585,0.9267,0.4237,0.7558,9.8686,3.8315,0.5763,0.2857-0.6415,0.6382-0.8606
tokentriage-minlayer,"entropy=0.55,min=0.72",573,59,3.625,0.8705,0.9843,0.9831,0.9838,10.159,6.6521,0.0169,0.9560-1.0000,0.9699-0.9950
tokentriage-stable,"entropy=0.55,min=0.72",573,59,4.159,0.8515,0.8831,0.0,0.5847,9.5367,0.6077,1.0,0.0000-0.0000,0.4777-0.6910
tokentriage-kstable,"entropy=0.55,min=0.72,k=2",573,59,3.799,0.8643,0.9581,0.7288,0.881,9.9775,4.8891,0.2712,0.6000-0.9070,0.7913-0.9579
tokentriage-kstable,"entropy=0.55,min=0.72,k=3",573,59,4.0,0.8571,0.9319,0.4746,0.7772,9.8149,3.3098,0.5254,0.3467-0.6400,0.6677-0.8793
tokentriage-kstable,"entropy=0.55,min=0.72,k=4",573,59,4.119,0.8529,0.9145,0.3051,0.708,9.7358,2.542,0.6949,0.1733-0.4576,0.5923-0.8119
tokentriage-minlayer,"entropy=0.55,min=0.85",573,59,3.934,0.8595,0.9494,0.6441,0.8465,9.8555,3.7044,0.3559,0.5522-0.7925,0.7684-0.9167
tokentriage-stable,"entropy=0.55,min=0.85",573,59,4.185,0.8505,0.8831,0.0,0.5847,9.526,0.5043,1.0,0.0000-0.0000,0.4777-0.6910
tokentriage-kstable,"entropy=0.55,min=0.85,k=2",573,59,4.031,0.856,0.9354,0.5085,0.7911,9.7667,2.8418,0.4915,0.3656-0.7209,0.6740-0.8920
tokentriage-kstable,"entropy=0.55,min=0.85,k=3",573,59,4.162,0.8513,0.9127,0.2881,0.7014,9.6443,1.6533,0.7119,0.1628-0.3881,0.6056-0.7911
tokentriage-kstable,"entropy=0.55,min=0.85,k=4",573,59,4.253,0.8481,0.8988,0.1525,0.6462,9.5735,0.9655,0.8475,0.0857-0.2090,0.5564-0.7284
margin,threshold=0.05,573,59,1.93,0.9311,0.986,1.0,0.9908,10.4781,12.3535,,1.0000-1.0000,0.9845-0.9945
margin,threshold=0.10,573,59,2.951,0.8946,0.9791,1.0,0.9861,10.2784,11.6947,,1.0000-1.0000,0.9809-0.9902
margin,threshold=0.20,573,59,5.363,0.8085,0.9372,0.9661,0.9468,9.7469,11.216,,0.9310-1.0000,0.9250-0.9642
margin,threshold=0.35,573,59,9.433,0.6631,0.8569,0.9322,0.8824,8.4986,10.5633,,0.8974-0.9778,0.8494-0.9072
margin,threshold=0.50,573,59,12.995,0.5359,0.7469,0.7458,0.7473,7.5239,8.604,,0.6809-0.8261,0.7222-0.7774
