policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.42,min=0.50,k=4",3721,349,2.489,0.8963,0.9769,0.7536,0.9019,22.1679,14.1369,0.2464,0.7173-0.7919,0.8890-0.9178
tokentriage-minlayer,"entropy=0.42,min=0.65",3721,349,2.407,0.8997,0.9997,0.9971,0.9988,22.6113,18.8646,0.0029,0.9900-1.0000,0.9961-1.0000
tokentriage-stable,"entropy=0.42,min=0.65",3721,349,3.081,0.8716,0.9062,0.0,0.6168,20.8868,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.42,min=0.65,k=2",3721,349,2.499,0.8959,0.9962,0.9599,0.9839,22.4207,16.8324,0.0401,0.9373-0.9799,0.9744-0.9919
tokentriage-kstable,"entropy=0.42,min=0.65,k=3",3721,349,2.64,0.89,0.9804,0.7908,0.9173,22.1324,13.7585,0.2092,0.7465-0.8339,0.8996-0.9351
tokentriage-kstable,"entropy=0.42,min=0.65,k=4",3721,349,2.739,0.8859,0.9675,0.6533,0.8626,21.9233,11.5292,0.3467,0.6042-0.6974,0.8414-0.8832
tokentriage-minlayer,"entropy=0.42,min=0.72",3721,349,2.594,0.8919,1.0,1.0,1.0,22.3728,16.322,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.42,min=0.72",3721,349,3.081,0.8716,0.9062,0.0,0.6168,20.8868,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.42,min=0.72,k=2",3721,349,2.679,0.8884,0.9895,0.8883,0.9549,22.1348,13.7846,0.1117,0.8431-0.9237,0.9376-0.9693
tokentriage-kstable,"entropy=0.42,min=0.72,k=3",3721,349,2.789,0.8838,0.9745,0.7278,0.8925,21.8646,10.9029,0.2722,0.6826-0.7818,0.8744-0.9120
tokentriage-kstable,"entropy=0.42,min=0.72,k=4",3721,349,2.873,0.8803,0.9594,0.5673,0.8298,21.6751,8.8824,0.4327,0.5217-0.6130,0.8091-0.8517
tokentriage-minlayer,"entropy=0.42,min=0.85",3721,349,2.876,0.8802,0.9823,0.8109,0.9245,21.5014,7.0307,0.1891,0.7680-0.8531,0.9081-0.9424
tokentriage-stable,"entropy=0.42,min=0.85",3721,349,3.096,0.871,0.9062,0.0,0.6168,20.8815,0.4215,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.42,min=0.85,k=2",3721,349,2.946,0.8772,0.9702,0.6819,0.8754,21.3503,5.4194,0.3181,0.6413-0.7253,0.8567-0.8950
tokentriage-kstable,"entropy=0.42,min=0.85,k=3",3721,349,3.017,0.8743,0.9508,0.4756,0.7959,21.2016,3.8342,0.5244,0.4221-0.5331,0.7703-0.8245
tokentriage-kstable,"entropy=0.42,min=0.85,k=4",3721,349,3.064,0.8723,0.9352,0.3095,0.7321,21.1087,2.8439,0.6905,0.2699-0.3506,0.7050-0.7579
entropy,threshold=0.55,3721,349,1.0,0.9583,1.0,1.0,1.0,22.9735,22.7263,,1.0000-1.0000,1.0000-1.0000
tokentriage-minlayer,"entropy=0.55,min=0.50",3721,349,2.032,0.9153,1.0,1.0,1.0,22.7779,20.6412,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.55,min=0.50",3721,349,3.081,0.8716,0.9062,0.0,0.6168,20.8868,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.55,min=0.50,k=2",3721,349,2.122,0.9116,0.9992,0.9914,0.9966,22.7183,20.0057,0.0086,0.9780-1.0000,0.9908-1.0000
tokentriage-kstable,"entropy=0.55,min=0.50,k=3",3721,349,2.317,0.9034,0.9901,0.894,0.9573,22.4383,17.0196,0.106,0.8489-0.9293,0.9408-0.9712
tokentriage-kstable,"entropy=0.55,min=0.50,k=4",3721,349,2.489,0.8963,0.9769,0.7536,0.9019,22.1679,14.1369,0.2464,0.7173-0.7919,0.8890-0.9178
tokentriage-minlayer,"entropy=0.55,min=0.65",3721,349,2.407,0.8997,0.9997,0.9971,0.9988,22.6113,18.8646,0.0029,0.9900-1.0000,0.9961-1.0000
tokentriage-stable,"entropy=0.55,min=0.65",3721,349,3.081,0.8716,0.9062,0.0,0.6168,20.8868,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.55,min=0.65,k=2",3721,349,2.499,0.8959,0.9962,0.9599,0.9839,22.4207,16.8324,0.0401,0.9373-0.9799,0.9744-0.9919
tokentriage-kstable,"entropy=0.55,min=0.65,k=3",3721,349,2.64,0.89,0.9804,0.7908,0.9173,22.1324,13.7585,0.2092,0.7465-0.8339,0.8996-0.9351
tokentriage-kstable,"entropy=0.55,min=0.65,k=4",3721,349,2.739,0.8859,0.9675,0.6533,0.8626,21.9233,11.5292,0.3467,0.6042-0.6974,0.8414-0.8832
tokentriage-minlayer,"entropy=0.55,min=0.72",3721,349,2.594,0.8919,1.0,1.0,1.0,22.3728,16.322,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.55,min=0.72",3721,349,3.081,0.8716,0.9062,0.0,0.6168,20.8868,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.55,min=0.72,k=2",3721,349,2.679,0.8884,0.9895,0.8883,0.9549,22.1348,13.7846,0.1117,0.8431-0.9237,0.9376-0.9693
tokentriage-kstable,"entropy=0.55,min=0.72,k=3",3721,349,2.789,0.8838,0.9745,0.7278,0.8925,21.8646,10.9029,0.2722,0.6826-0.7818,0.8744-0.9120
tokentriage-kstable,"entropy=0.55,min=0.72,k=4",3721,349,2.873,0.8803,0.9594,0.5673,0.8298,21.6751,8.8824,0.4327,0.5217-0.6130,0.8091-0.8517
tokentriage-minlayer,"entropy=0.55,min=0.85",3721,349,2.876,0.8802,0.9823,0.8109,0.9245,21.5014,7.0307,0.1891,0.7680-0.8531,0.9081-0.9424
tokentriage-stable,"entropy=0.55,min=0.85",3721,349,3.096,0.871,0.9062,0.0,0.6168,20.8815,0.4215,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.55,min=0.85,k=2",3721,349,2.946,0.8772,0.9702,0.6819,0.8754,21.3503,5.4194,0.3181,0.6413-0.7253,0.8567-0.8950
tokentriage-kstable,"entropy=0.55,min=0.85,k=3",3721,349,3.017,0.8743,0.9508,0.4756,0.7959,21.2016,3.8342,0.5244,0.4221-0.5331,0.7703-0.8245
tokentriage-kstable,"entropy=0.55,min=0.85,k=4",3721,349,3.064,0.8723,0.9352,0.3095,0.7321,21.1087,2.8439,0.6905,0.2699-0.3506,0.7050-0.7579
margin,threshold=0.05,3721,349,1.048,0.9563,1.0,1.0,1.0,23.1452,22.7122,,1.0000-1.0000,1.0000-1.0000
margin,threshold=0.10,3721,349,1.125,0.9531,1.0,1.0,1.0,23.2617,22.8256,,1.0000-1.0000,1.0000-1.0000
margin,threshold=0.20,3721,349,1.27,0.9471,1.0,1.0,1.0,23.5458,22.9532,,1.0000-1.0000,1.0000-1.0000
margin,threshold=0.35,3721,349,1.854,0.9228,0.9858,0.894,0.9591,23.6222,21.5952,,0.8589-0.9201,0.9486-0.9674
margin,threshold=0.50,3721,349,2.307,0.9039,0.9841,0.8911,0.9572,23.759,21.9061,,0.8558-0.9188,0.9482-0.9658
