policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.30,min=0.85,k=4",921,84,16.899,0.2959,0.4137,0.0833,0.3114,4.6358,0.3204,0.8158,0.0357-0.1618,0.2731-0.3711
entropy,threshold=0.42,921,84,11.616,0.516,0.6971,0.7619,0.7152,7.2802,6.0005,,0.6622-0.8429,0.6706-0.7489
tokentriage-minlayer,"entropy=0.42,min=0.50",921,84,12.083,0.4966,0.6971,0.7619,0.7152,7.3188,6.4246,0.0,0.6622-0.8429,0.6706-0.7489
tokentriage-stable,"entropy=0.42,min=0.50",921,84,12.694,0.4711,0.6276,0.0,0.4305,6.7802,0.5186,1.0,0.0000-0.0000,0.3877-0.4825
tokentriage-kstable,"entropy=0.42,min=0.50,k=2",921,84,12.163,0.4932,0.6938,0.7262,0.7021,7.2757,5.9521,0.0469,0.6393-0.8194,0.6617-0.7415
tokentriage-kstable,"entropy=0.42,min=0.50,k=3",921,84,12.316,0.4868,0.6873,0.6548,0.6744,7.1584,4.6651,0.1406,0.5747-0.7500,0.6382-0.7161
tokentriage-kstable,"entropy=0.42,min=0.50,k=4",921,84,12.457,0.481,0.6699,0.4643,0.6017,7.0131,3.0726,0.3906,0.3830-0.5618,0.5556-0.6604
tokentriage-minlayer,"entropy=0.42,min=0.65",921,84,12.287,0.4881,0.6971,0.7619,0.7152,7.1989,5.1097,0.0,0.6622-0.8429,0.6706-0.7489
tokentriage-stable,"entropy=0.42,min=0.65",921,84,12.694,0.4711,0.6276,0.0,0.4305,6.7802,0.5186,1.0,0.0000-0.0000,0.3877-0.4825
tokentriage-kstable,"entropy=0.42,min=0.65,k=2",921,84,12.36,0.485,0.6916,0.7024,0.6932,7.1191,4.2342,0.0781,0.6265-0.7917,0.6575-0.7301
tokentriage-kstable,"entropy=0.42,min=0.65,k=3",921,84,12.465,0.4806,0.6819,0.5952,0.652,7.0249,3.202,0.2188,0.5256-0.6714,0.6183-0.6870
tokentriage-kstable,"entropy=0.42,min=0.65,k=4",921,84,12.564,0.4765,0.6656,0.4167,0.5834,6.9289,2.1495,0.4531,0.3200-0.5286,0.5368-0.6401
tokentriage-minlayer,"entropy=0.42,min=0.72",921,84,12.391,0.4837,0.6949,0.7381,0.7054,7.0654,3.6463,0.0312,0.6557-0.8202,0.6653-0.7401
tokentriage-stable,"entropy=0.42,min=0.72",921,84,12.694,0.4711,0.6276,0.0,0.4305,6.7802,0.5186,1.0,0.0000-0.0000,0.3877-0.4825
tokentriage-kstable,"entropy=0.42,min=0.72,k=2",921,84,12.442,0.4816,0.6884,0.6667,0.6798,7.0231,3.182,0.125,0.5946-0.7460,0.6448-0.7150
tokentriage-kstable,"entropy=0.42,min=0.72,k=3",921,84,12.542,0.4774,0.6743,0.5119,0.6209,6.9448,2.3233,0.3281,0.4324-0.6143,0.5816-0.6740
tokentriage-kstable,"entropy=0.42,min=0.72,k=4",921,84,12.633,0.4736,0.6591,0.3452,0.5572,6.8562,1.3523,0.5469,0.2527-0.4719,0.4907-0.6231
tokentriage-minlayer,"entropy=0.42,min=0.85",921,84,12.557,0.4768,0.6862,0.6429,0.6696,6.9343,2.2087,0.1562,0.5588-0.7286,0.6311-0.7061
tokentriage-stable,"entropy=0.42,min=0.85",921,84,12.71,0.4704,0.6276,0.0,0.4305,6.7719,0.4283,1.0,0.0000-0.0000,0.3877-0.4825
