policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.42,min=0.50,k=2",3783,341,11.952,0.502,0.7018,0.7009,0.6994,7.4506,6.4501,0.0285,0.6522-0.7402,0.6757-0.7173
tokentriage-kstable,"entropy=0.42,min=0.50,k=3",3783,341,12.095,0.496,0.6942,0.6158,0.6676,7.3285,5.0959,0.1463,0.5695-0.6586,0.6456-0.6878
tokentriage-kstable,"entropy=0.42,min=0.50,k=4",3783,341,12.227,0.4906,0.6809,0.4692,0.6122,7.1975,3.642,0.3496,0.4266-0.5060,0.5947-0.6328
tokentriage-minlayer,"entropy=0.42,min=0.65",3783,341,12.093,0.4961,0.7037,0.7214,0.707,7.373,5.5888,0.0,0.6696-0.7593,0.6839-0.7255
tokentriage-stable,"entropy=0.42,min=0.65",3783,341,12.482,0.4799,0.6386,0.0,0.4401,6.9111,0.4645,1.0,0.0000-0.0000,0.4216-0.4595
tokentriage-kstable,"entropy=0.42,min=0.65,k=2",3783,341,12.199,0.4917,0.6979,0.6569,0.6823,7.2382,4.094,0.0894,0.6058-0.6981,0.6583-0.6992
tokentriage-kstable,"entropy=0.42,min=0.65,k=3",3783,341,12.3,0.4875,0.6849,0.5132,0.6286,7.1355,2.9547,0.2886,0.4703-0.5595,0.6090-0.6483
tokentriage-kstable,"entropy=0.42,min=0.65,k=4",3783,341,12.376,0.4843,0.673,0.3812,0.5792,7.0685,2.2111,0.4715,0.3344-0.4250,0.5555-0.5984
tokentriage-minlayer,"entropy=0.42,min=0.72",3783,341,12.193,0.4919,0.7024,0.7067,0.7011,7.2044,3.7185,0.0203,0.6610-0.7458,0.6802-0.7194
tokentriage-stable,"entropy=0.42,min=0.72",3783,341,12.482,0.4799,0.6386,0.0,0.4401,6.9111,0.4645,1.0,0.0000-0.0000,0.4216-0.4595
tokentriage-kstable,"entropy=0.42,min=0.72,k=2",3783,341,12.268,0.4888,0.6957,0.6334,0.6738,7.1411,3.0168,0.122,0.5882-0.6746,0.6528-0.6907
tokentriage-kstable,"entropy=0.42,min=0.72,k=3",3783,341,12.371,0.4845,0.6788,0.4457,0.6043,7.0449,1.9495,0.3821,0.4100-0.4854,0.5869-0.6233
tokentriage-kstable,"entropy=0.42,min=0.72,k=4",3783,341,12.44,0.4817,0.6672,0.3167,0.5559,6.9903,1.3433,0.561,0.2741-0.3656,0.5332-0.5790
tokentriage-minlayer,"entropy=0.42,min=0.85",3783,341,12.354,0.4853,0.6939,0.6129,0.6662,7.082,2.3605,0.1545,0.5621-0.6648,0.6425-0.6884
tokentriage-stable,"entropy=0.42,min=0.85",3783,341,12.496,0.4793,0.6386,0.0,0.4401,6.9079,0.4293,1.0,0.0000-0.0000,0.4216-0.4595
tokentriage-kstable,"entropy=0.42,min=0.85,k=2",3783,341,12.418,0.4826,0.6786,0.4428,0.6023,6.9999,1.4495,0.3902,0.3941-0.4872,0.5811-0.6234
tokentriage-kstable,"entropy=0.42,min=0.85,k=3",3783,341,12.474,0.4802,0.6638,0.2786,0.5419,6.9415,0.8016,0.6179,0.2350-0.3176,0.5199-0.5627
tokentriage-kstable,"entropy=0.42,min=0.85,k=4",3783,341,12.508,0.4788,0.655,0.1818,0.5061,6.9197,0.5608,0.748,0.1433-0.2281,0.4823-0.5252
entropy,threshold=0.55,3783,341,3.205,0.8665,0.9701,0.9795,0.9727,10.4808,9.0073,,0.9585-0.9940,0.9647-0.9796
tokentriage-minlayer,"entropy=0.55,min=0.50",3783,341,4.057,0.831,0.9704,0.9824,0.9737,10.5361,9.6207,0.0,0.9649-0.9942,0.9657-0.9799
tokentriage-stable,"entropy=0.55,min=0.50",3783,341,5.006,0.7914,0.8818,0.0,0.6077,9.7295,0.6726,1.0,0.0000-0.0000,0.5833-0.6319
tokentriage-kstable,"entropy=0.55,min=0.50,k=2",3783,341,4.165,0.8264,0.9693,0.9707,0.969,10.4566,8.7395,0.012,0.9474-0.9850,0.9595-0.9763
tokentriage-kstable,"entropy=0.55,min=0.50,k=3",3783,341,4.412,0.8162,0.9543,0.8035,0.9054,10.2335,6.264,0.1796,0.7672-0.8382,0.8907-0.9203
tokentriage-kstable,"entropy=0.55,min=0.50,k=4",3783,341,4.602,0.8083,0.9337,0.5748,0.819,10.043,4.1507,0.4132,0.5310-0.6132,0.7984-0.8380
tokentriage-minlayer,"entropy=0.55,min=0.65",3783,341,4.399,0.8167,0.9704,0.9824,0.9737,10.3588,7.6541,0.0,0.9649-0.9942,0.9657-0.9799
tokentriage-stable,"entropy=0.55,min=0.65",3783,341,5.006,0.7914,0.8818,0.0,0.6077,9.7295,0.6726,1.0,0.0000-0.0000,0.5833-0.6319
tokentriage-kstable,"entropy=0.55,min=0.65,k=2",3783,341,4.552,0.8103,0.9625,0.8944,0.9389,10.1554,5.3981,0.0898,0.8559-0.9239,0.9235-0.9519
tokentriage-kstable,"entropy=0.55,min=0.65,k=3",3783,341,4.71,0.8037,0.9421,0.6686,0.8542,9.9873,3.5333,0.3174,0.6254-0.7143,0.8369-0.8747
tokentriage-kstable,"entropy=0.55,min=0.65,k=4",3783,341,4.819,0.7992,0.9236,0.4633,0.7772,9.8801,2.3435,0.5269,0.4140-0.5156,0.7516-0.8008
tokentriage-minlayer,"entropy=0.55,min=0.72",3783,341,4.574,0.8094,0.967,0.9443,0.9584,10.1249,5.0599,0.0389,0.9097-0.9755,0.9435-0.9718
tokentriage-stable,"entropy=0.55,min=0.72",3783,341,5.008,0.7913,0.8818,0.0,0.6077,9.7298,0.6756,1.0,0.0000-0.0000,0.5833-0.6319
tokentriage-kstable,"entropy=0.55,min=0.72,k=2",3783,341,4.678,0.8051,0.958,0.8446,0.9201,10.0212,3.9087,0.1407,0.8027-0.8757,0.9053-0.9358
tokentriage-kstable,"entropy=0.55,min=0.72,k=3",3783,341,4.822,0.7991,0.9339,0.5777,0.8211,9.877,2.3096,0.4102,0.5352-0.6271,0.8016-0.8423
tokentriage-kstable,"entropy=0.55,min=0.72,k=4",3783,341,4.92,0.795,0.9162,0.3812,0.7474,9.788,1.3223,0.6108,0.3324-0.4321,0.7218-0.7728
tokentriage-minlayer,"entropy=0.55,min=0.85",3783,341,4.84,0.7983,0.9508,0.7654,0.8904,9.9068,2.6401,0.2216,0.6997-0.8156,0.8680-0.9115
tokentriage-stable,"entropy=0.55,min=0.85",3783,341,5.031,0.7904,0.8818,0.0,0.6077,9.7135,0.4958,1.0,0.0000-0.0000,0.5833-0.6319
tokentriage-kstable,"entropy=0.55,min=0.85,k=2",3783,341,4.929,0.7946,0.9302,0.5367,0.8045,9.7955,1.4049,0.4551,0.4837-0.5881,0.7816-0.8265
tokentriage-kstable,"entropy=0.55,min=0.85,k=3",3783,341,4.998,0.7917,0.9107,0.3196,0.7245,9.7258,0.632,0.6737,0.2737-0.3673,0.6967-0.7508
tokentriage-kstable,"entropy=0.55,min=0.85,k=4",3783,341,5.037,0.7901,0.9001,0.2023,0.6811,9.6989,0.3332,0.7934,0.1630-0.2536,0.6521-0.7100
margin,threshold=0.05,3783,341,2.609,0.8913,0.9963,0.9971,0.9966,10.9467,9.4816,,0.9906-1.0000,0.9936-0.9984
margin,threshold=0.10,3783,341,4.763,0.8016,0.9601,0.9707,0.9629,10.4791,9.1967,,0.9494-0.9864,0.9530-0.9714
margin,threshold=0.20,3783,341,9.2,0.6167,0.8105,0.8768,0.8306,8.8209,8.2753,,0.8435-0.9083,0.8147-0.8448
margin,threshold=0.35,3783,341,14.324,0.4032,0.571,0.607,0.5793,6.365,5.8131,,0.5636-0.6480,0.5599-0.6006
margin,threshold=0.50,3783,341,17.326,0.2781,0.3777,0.3754,0.3759,4.5028,4.2903,,0.3259-0.4169,0.3561-0.3967
